Micromagnetic energy calculation : BEMScript 2014
Mesh data:
19 August 2021  13:29:04
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5870         30390          1795          3586  0.494123E-02
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.482477E+06 -0.130397E+05  0.475060E-04  0.000000E+00  0.134441E-10  0.170325E-06 -0.891528E-01  0.958736E+01  0.722717E-15
External field direction (x,y,z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
           1           1   -0.18057480127502783390E-01  0.00000000000000000000E+00  0.56584256425923591394E+01  0.60080319071349785887E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.49108519757624154167E-01  0.56894766822224811520E+01 -0.89374503900617532914E-02  0.16536645569043217918E-01 -0.35780100628410448256E-02
           2           2   -0.18059573329929742153E-01  0.00000000000000000000E+00  0.56346752165964062442E+01  0.59903008768328467326E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.49453732720933403499E-01  0.56660693759874103392E+01 -0.89754013681349817388E-02  0.16659867976261996669E-01 -0.36168731527876384936E-02
           3           3   -0.18061587579797016428E-01  0.00000000000000000000E+00  0.56109382655250250593E+01  0.59725519392091301896E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.49800827292559003701E-01  0.56426775052377866615E+01 -0.90147415821909184647E-02  0.16783102120652433620E-01 -0.36553179809835265567E-02
           4           4   -0.18063527308999124260E-01  0.00000000000000000000E+00  0.55872182792786908578E+01  0.59547813041379020760E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.50149768116145451713E-01  0.56193045200858362520E+01 -0.90554959084586973683E-02  0.16906311876774438030E-01 -0.36933615917546539983E-02
           5           5   -0.18065397097323424025E-01  0.00000000000000000000E+00  0.55635186994386147674E+01  0.59369880506013341659E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.50500519347685943194E-01  0.55959538216889770368E+01 -0.90976862104247633450E-02  0.17029462193604984893E-01 -0.37310221933838133741E-02
           6           6   -0.18070037032627717100E-01  0.00000000000000000000E+00  0.55001590521602654604E+01  0.58893543266348196141E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.51445659539162830187E-01  0.55335346746668010454E+01 -0.92184640142796911433E-02  0.17357674303826269718E-01 -0.38300669327750065662E-02
           7           7   -0.18074300063505847891E-01  0.00000000000000000000E+00  0.54370542285982867980E+01  0.58416843369365620831E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.52402560988076961335E-01  0.54713824895228579948E+01 -0.93500401154251889385E-02  0.17684336161027658374E-01 -0.39268778222802452546E-02
           8           8   -0.18078277359412975311E-01  0.00000000000000000000E+00  0.53742650032990368913E+01  0.57939962935877327155E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.53370483810974062022E-01  0.54095572097505986164E+01 -0.94924669144810080307E-02  0.18008926509444762171E-01 -0.40218863872647581462E-02
           9           9   -0.18082050925869706109E-01  0.00000000000000000000E+00  0.53118489862152671321E+01  0.57463399816838585110E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.54348671591242667112E-01  0.53481156068806399162E+01 -0.96456304212571390699E-02  0.18331018741413813294E-01 -0.41155334144073185687E-02
          10          10   -0.18091890483074996032E-01  0.00000000000000000000E+00  0.51384046621751906514E+01  0.56131558485126946678E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.57129963445911244313E-01  0.51774427351380269968E+01 -0.10138397247620745470E-01  0.19208146032264696718E-01 -0.43746965315292806256E-02
